Year,City,Country,latitude,longitude,attack type,Target Type,Target Sub Type,Target,Weapon Type,Weapon sub type,Terrorist Organization,motive,summary,
2011,Narayanpatna,India,18.879649,83.169137,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,The target of the armed assault was a civilian.,Melee,Knife or Other Sharp Object,Communist Party of India - Maoist (CPI-Maoist),"The specific motive for the attack is unknown, however Nachika was suspected of being a police informer.","07/23/2011: On Saturday night, in Narayanpana, Koraput, Odisha, India, suspected militants of the Communist Party of India-Maoist (CPI) group killed a tribal youth that was suspected of being a police informer. The victim was identified as Suka Nachika. Nachika was tied up and his throat was slit with a bladed weapon. No group claimed responsibility, but the Communist Party of India was suspected.",
2011,Ukhrul district,India,25.095386,94.361652,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,A civilian couple,Firearms,Unknown Gun Type,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),"The specific motive for the attack is unknown, however Shimray was known and respected in the village and was a clerk in the local church and teacher, and was involved in the work of National Rural Employment Generation Scheme (NREGS).","07/24/2011: On Sunday night, in the village of Lungpha in Ukhrul, Manipur, India, a couple identified as Vareingam Mahonao Shimray and Ngaherla Shimray were killed by six suspected National Socialist Council of Nagaland - Isak-Muivah (NSCN-IM) militants. The husband and wife were shot in their house. Vareingam was a clerk in the local church and teacher, and involved in the work of National Rural Employment Generation Scheme (NREGS). Reports said the militants may have demanded a large amount of money from the victim since he was a village authority in the area. The assailants also fired at the house of the victim's sister, but no casualties were recorded. No group claimed responsibility, although NSCN-IM was suspected.",
2011,Chabua,India,27.483197,95.173452,Facility-Infrastructure Attack,Educational Institution,School/University/Educational Building,Four shops near DDR College were targeted in the bombing.,Explosives/Bombs/Dynamite,Grenade,United Liberation Front of Assam (ULFA),The specific motive for the attack is unknown.,"07/27/2011: On Wednesday afternoon at 1515, in Dibrugarh, Assam, India, suspected Anti-Talks Faction of United Liberation Front of Assam (ULFA-ATF) militants exploded a grenade near DDR College at Chabua. Four shops were partially damaged, but there were no casualties in the attack. No group claimed responsibility, but ULFA-ATF was suspected.",
2011,Golaghat,India,26.519877,93.970038,Facility-Infrastructure Attack,Business,Construction,Two construction workers,Unknown,0,Unknown,The specific motive for the attack is unknown.,"07/27/2011: On Wednesday, in Golaghat, Assam, India, two supervisors of Diphu-based Macro Construction Company were kidnapped by unidentified militants. The hostages were identified as Hari Barman and Montu Barman. No casualties were reported, and the hostages were released on 07/31/2011. No group claimed responsibility for the hostage taking.",
2011,Saran,India,25.856196,84.857253,Facility-Infrastructure Attack,Telecommunication,0,A private telecom tower was targeted in the blast.,Explosives/Bombs/Dynamite,Dynamite/TNT,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"07/27/2011: On Wednesday, in Saran, Bihar, India, a group of armed cadres of the Communist Party of India-Maoist (CPI-Maoist) blasted a tower and control room of a private telecom operator. Around 20 Maoists surrounded the tower, held the private security guard captive and triggered a dynamite blast to blow up the tower and control room. No group has claimed responsibility, but CIP-Maoists are suspected.",
2011,Koraput,India,18.815236,82.712102,Facility-Infrastructure Attack,Government (General),Judge/Attorney/Court,A local court,Explosives/Bombs/Dynamite,Other Explosive Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"07/27/2011: On Wednesday, in Koraput, Odisha, India, suspected Communist Party of India - Maoists (CPI-Maoist) planted 25 kilograms of explosives. The explosives were placed in a steel container in a bush apparently targeting security forces. The explosive filled container was found close to the local court and a border security force camp. The explosives did not detonate, and were recovered by security forces. No group claimed responsibility for the attempted bombing, but CPI-Maoist militants are suspected.",
2011,Rayagada,India,19.17,83.42,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,Melee,"Hands, Feet, Fists",Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"07/27/2011: On Wednesday, in Rayagada, Odisha, India, two civilians were abducted by suspected Communist Party of India-Maoist (CPI-Maoist) cadres. The hostages were identified as Dadhi Sikaka, and his brother Lakshman Sikaka. Dadhi was subsequently killed, and Lakshman was severely beaten and released. According to sources, Maoists termed Dadhi an agent of Police and Vedanta Alumina Limited (VAL). No group claimed responsibility, although CPI-Maoists are suspected.",
2011,Kokrajhar,India,26.350273,90.164173,Facility-Infrastructure Attack,Police,"Police Building (headquarters, station, school)",The central range office of the Kachugaon forest department was targeted in the attempted bombing.,Explosives/Bombs/Dynamite,Other Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/28/2011: On Thursday, in Kokrajhar, Assam, India, suspected militants hurled two handmade bombs at the central range office under Kachugaon forest department. The bombs did not explode. No group has claimed responsibility for this bombing.",
2011,Tinsukia,India,27.491929,95.347833,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,Melee,"Hands, Feet, Fists",United Liberation Front of Assam (ULFA),The specific motive for the attack is unknown.,"07/28/2011: On Thursday, in Tinsukia, Assam, India, two civilians were kidnapped by suspected United Liberation Front of Assam (ULFA) militants. The hostages were identified as Bhagawati Prasad Sarma and Bijoy Sarma. The victims were taken into a nearby jungle and beaten up by the armed militants. The militants took Bhagawati away at gunpoint, but Bijoy was released immediately after the ordeal. The status of the hostages was not reported. No group claimed responsibility for this hostage taking, but ULFA is suspected.",
2011,Banda,India,25.909402,86.058368,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"07/30/2011: On Saturday evening at 2000, in Rohtas, Bihar, India, over 100 heavily-armed suspected Communist Party of India-Maoists (CPI-Maoist) entered the Banda village and fired at random, killing three people. The Maoists carried out the operation in apparent retaliation to the killing of their top leader and self-styled commander Brinder Rana Yadav recently. No group has claimed responsibility.",
2011,Bhawanipatna,India,19.913736,83.1649,Facility-Infrastructure Attack,Government (General),"Government Personnel (excluding police, military)",A civilian was targeted during the armed assault.,Melee,Knife or Other Sharp Object,Communist Party of India - Maoist (CPI-Maoist),The victim was accused of being a police informer.,"07/30/2011: On Saturday, in Kalahandi, Odisha, India, Maoists killed a contractor who was working as Village Coordinator for Vedant Project at Lanjigarh. Ajit Patnaik was on a motorcycle with one of his relatives when the armed Maoists intercepted them near the Ujurpa forest. They slit the throat of Patnaik who died on the spot. His relative, however, fled from the scene after the incident. The Kashipur Niyamgiri Area Committee of the CPI (Maoist) division left a poster near the body which claimed the responsibility of killing Ajit Pattanik, branding him as a police informer and an employee of Vedant.",
2011,Kandhamal district,India,20.134204,84.016742,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,A civilian was targeted in the attack.,Melee,"Hands, Feet, Fists",Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"07/31/2011: On Sunday, in Kandhamal, Odisha, India, a civilian was abducted and subsequently beheaded by suspected Communist Party of India - Maoist (CPI-Maoist) militants. The victim was identified as Dakasa Majhi. No group claimed responsibility for the attack, but CPI-Maoists are suspected.",
2011,Chachapani,India,26.398022,90.269415,Facility-Infrastructure Attack,Transportation,Train/Train Tracks/Trolley,A goods-train,Sabotage Equipment,0,National Democratic Front of Bodoland (NDFB),The specific motive for the attack is unknown.,"08/01/2011: On Monday morning at 0720, in one of two related attacks, at Chachapani near Paroura village in Kokrajhar, Assam, India, suspected Pro-Talks Faction of National Democratic Front of Bodoland (NDFB-PTF) militants using a gas cutter, damaged portions of railway tracks resulting in the derailment of 11 wagons of a Guwahati-bound goods train. Primary investigations revealed that railway tracks measuring about two meters were removed from the tracks. The incident occurred between Kokrajhar and Fakiragram during a 48-hour general strike called by NDFB-PTF seeking the Centre's discussion with the outfit for the creation of Bodoland. The attack caused an unknown amount of property damage to the tracks and the 11 wagons, but resulted in no casualties. No group claimed responsibility for the event, but NDFB-PTF militants are suspected.",
2011,Kokrajhar district,India,26.424942,90.320993,Facility-Infrastructure Attack,Transportation,Train/Train Tracks/Trolley,Railway tracks,Sabotage Equipment,0,National Democratic Front of Bodoland (NDFB),The specific motive for the attack is unknown.,"08/01/2011: On Monday morning around 0500, in one of two related attacks, near railway bridge pillar number 228/1 between Salakati and Kokrajhar, Assam, India, a railway patrolling party detected a 1.5 meter long damaged piece of railway tracks by suspected Pro-Talks Faction of National Democratic Front of Bodoland (NDFB-PTF) militants using a gas cutter. Primary investigations revealed that railway tracks measuring about two meters were removed from the tracks. The attack took place during a 48-hour general strike called by NDFB-PTF seeking the Centre's discussion with the outfit for the creation of Bodoland. The attack resulted in no casualties or damages to any trains and no group claimed responsibility for the event, but NDFB-PTF militants are suspected.",
2011,Phulhara,India,24.877812,86.921828,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,Melee,Knife or Other Sharp Object,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/01/2011: On Monday night, in Banka, Bihar, India, 10-12 Communist Party of India - Maoists (CPI-Maoist) kidnapped five people from a paddy field at Phulhara village, adjacent to the dense Karmatand-Hathia Jharna forest area. The Maoists released three of the hostages before killing the remaining two. The bodies of Lekhu Yadav, a former Maoist, and his nephew Manoj Yadav were recovered on 08/02/2011. Lekhuﾒs throat had been cut and his nephewﾒs body bore bullet wounds. Reportedly, Lekhu left the outfit nearly three years ago and the Maoists suspected that Lekhu was working as a Police informer and held him responsible for the arrest of some of their comrades in the past. A handwritten leaflet left at the incident site claimed responsibility for the attack, accusing both of the deceased as being police informers.",
2011,Bijapur district,India,18.791667,80.816667,Facility-Infrastructure Attack,Police,Police Security Forces/Officers,"A joint police combing team of the District Force (DF), Chhattisgarh Armed Force (CAF) and the Special Task Force (STF) was targeted during the armed assault.",Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/01/2011: On Monday morning around 0930, in Kesamundi forest of Bijapur, Chhattisgarh, India, at least two suspected Communist Party of India - Maoist (CPI-Maoist) militants were killed in retaliatory fire when a group of militants ambushed joint combing team of the District Force (DF), Chhattisgarh Armed Force (CAF) and the Special Task Force (STF). The specific motive for the attack is unknown; however, the militants have called for a shutdown to protest police offensives against them and they have also opposed the establishment of an army training camp in the Bastar region. No security force casualties were reported in the attack and no group claimed responsibility.",
2011,Imphal,India,24.817011,93.936844,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,Explosives/Bombs/Dynamite,Vehicle,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),The specific motive for the attack is unknown.,"08/01/2011: On Monday, near a barber shop in Sanghakpam Bazaar in Imphal East, Manipur, India, unidentified militants detonated an improvised explosive device attached to a scooter at a busy market, killing five people and injuring eight others. Four of the victims were identified as Jawahir Thakur from Bihar, his son, Muna and Th Neha and Philaso, both locals. The barber who was killed is yet to be identified. Several booths in the market place, including a barber shop, were damaged in the powerful blast. The chief minister of Manipur, Okram Ibobi Singh, stated on 08/26/2011 that the National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM) was responsible for the attack; however, the National Socialist Council of Nagaland - Isak Muivah (NSCN-IM) denied responsibility for the attack.",
2011,West Singhbhum district,India,22.365086,85.437557,Facility-Infrastructure Attack,Police,Police Patrol (including vehicles and convoys),"A Central Reserve Police Force (CRPF), government supported paramilitary, patrol",Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/02/2011: On Tuesday morning, in Saranda forests in West Singhbhum, Jharkhand, India, during a routine patrol, two Central Reserve Police Force (CRPF) personnel identified as Ganesh Kumar Mahato and Shrikant Barik, were injured during an encounter with Communist Party of India - Maoist (CPI-Maoist) militants. The police claimed that some Maoists also sustained injuries during the encounter, but they did not give a specific number. One source indicates that at least two militants may have been killed. No group claimed responsibility for the attack.",
2011,Bariarpur,India,25.288582,86.572856,Facility-Infrastructure Attack,Private Citizens & Property,House/Apartment/Residence,"The residence of a village chief, identified as Sumitra Devi, was targeted in the attack.",Explosives/Bombs/Dynamite,Other Explosive Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/03/2011: On Wednesday night, in Jamui, Bihar, India, in one of two related attacks in Bariarpur village in Jamui, Bihar, India, around 40 suspected Communist Party of India-Maoists (CPI-M) blew up the private residence of the village chief, identified as Sumitra Devi, damaging a part of it. No casualties were reported and no group claimed responsibility for the attack.",
2011,Bariarpur,India,25.288582,86.572856,Facility-Infrastructure Attack,Private Citizens & Property,House/Apartment/Residence,"The residence of a villager identified as Ashok Yadav, was targeted in the attack.",Explosives/Bombs/Dynamite,Other Explosive Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/03/2011: On Wednesday night, in one of two related attacks in Bariarpur village in Jamui, Bihar, India, around 40 suspected Communist Party of India-Maoists (CPI-M) blew up the residence of a villager identified as Ashok Yadav, destroying the house. No casualties were reported and no group claimed responsibility for the attack.",
2011,Gangalur,India,18.7554,81.028554,Facility-Infrastructure Attack,Private Citizens & Property,Laborer (General)/Occupation Identified,A civilian and suspected police informer was targeted in the attack.,Unknown,0,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/04/2011: On Thursday night, in Gangaloor village in Bijapur, Chhattisgarh, India, suspected Communist Party of India - Maoist (CPI-Maoist) militants killed a villager on suspicion of being a police informer. The identity of the villager was unreported and no group claimed responsibility for the attack.",
2011,Bijapur,India,18.792596,80.813556,Facility-Infrastructure Attack,Private Citizens & Property,Laborer (General)/Occupation Identified,A civilian and suspected police informer was targeted in the attack.,Unknown,0,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/04/2011: On Thursday night, in Basaguda village in Bijapur, Chhattisgarh, India, suspected Communist Party of India - Maoist (CPI-Maoist) militants killed a villager on suspicion of being a police informer. The identity of the villager was unreported and no group claimed responsibility for the attack.",
2011,Bhopalpatnam,India,18.861224,80.382567,Facility-Infrastructure Attack,Private Citizens & Property,Laborer (General)/Occupation Identified,A civilian and suspected police informer was targeted in the attack.,Unknown,0,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/04/2011: On Thursday night, in Bhopalpatnam village in Bijapur, Chhattisgarh, India, suspected Communist Party of India - Maoist (CPI-Maoist) militants killed a villager on suspicion of being a police informer. The identity of the villager was unreported and no group claimed responsibility for the attack.",
2011,West Singhbhum district,India,22.365086,85.437557,Facility-Infrastructure Attack,Business,Construction,"Three dumpers, three JCB vehicles and one roller-cutter vehicle of a private construction company",Incendiary,Arson/Fire,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/04/2011: On Thursday night between 0100 and 0200, at a construction site in Posaita in West Singhbhum, Jharkhand, India, nine to 10 suspected Communist Party of India-Maoists (CPI-M) using kerosene set fire to three dumpers, three JCB vehicles and one roller-cutter vehicle of a private construction company involved in the laying of the third lane of the Mumabi-Howrah railway track near Posaita station. The attack caused an unknown amount of property damage to the vehicles, but resulted in no casualties. The specific motive for the attack is unknown; however, police believe that it could have been carried out either to divert the attention of the police from a combing operation in Saranda forest or in retaliation for a levy demand not paid. No group claimed responsibility for the attack.",
2011,Jubaguda,India,19.741208,83.881757,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,Two civilians and suspected police informers identified as Peter Mallick and Sitaram Uthansingh,Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/04/2011: On Thursday night, in Jubaguda village in Kandhamal, Odisha, India, two people suspected of being police informants were killed by Communist Party of India-Maoists (CPI-Maoist). Reportedly, a large group of militants, including women, called the victims identified as Peter Mallick, who had his throat cut and Sitaram Uthansingh who bore a shot gun wound from their homes and took them to the outskirts of the village. A Maoist poster was recovered from near the incident site. Police arrested Tripati Kapat Majhi, Andrew Mallik, Sebastian Mallik, and two women Radhika Mallik and Lurdu Patamajhi in connection with the attack.",
2011,Gumla,India,23.041512,84.544486,Facility-Infrastructure Attack,Transportation,Bus (excluding tourists),Two unoccupied buses,Incendiary,Arson/Fire,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/05/2011: On Friday night, in Kedeg Village, Gumla, Jharkhand, India, suspected Communist Party of India-Maoist (CPI-M) set fire to two unoccupied buses, causing an unknown amount of property damage but no casualties. No group claimed responsibility for the attack.",
2011,Sawanga,India,21.110152,78.753643,Facility-Infrastructure Attack,NGO,Domestic NGO,The National Commission for Protection of Child Rights' (NCPCR) convoy was targeted in the attack.,Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/08/2011: On Monday afternoon, in the jungles of Sawanga at Lekha-Mendha in Gadchiroli, Maharashtra, India, two C-60 commando personnel were injured when the Communist Party of India-Maoist (CPI-Maoist) attacked the National Commission for Protection of Child Rights' (NCPCR) convoy. The attack took place when the anti-child labor activist and NCPCR chairperson, Shantha Sinha, were returning from Kamabguda village this afternoon, when a group of 20-25 armed militants attacked their convoy resulting in a 15 minute encounter. The other officials included in the convoy were identified as several senior government officials and the tribal development commissioners, Sambhaji Sarkunde and Anshu Sinha, district collector Abhishek Krishna, the chief executive officer of the district Sumant Bhange and commission members Deepa Dixit, SK Rao and Venkat Reddy. It is unknown if the attack resulted in any damages and no group claimed responsibility for the attack.",
2011,Alomganj,India,26.129196,90.025839,Facility-Infrastructure Attack,Transportation,Bus (excluding tourists),"The intended target of the attack is unknown, but it is suspected that the Goalpara-bound bus",Explosives/Bombs/Dynamite,Other Explosive Type,National Democratic Front of Bodoland (NDFB),The specific motive for the attack is unknown.,"08/10/2011: On Wednesday, on National Highway 31 at Alomganj village in Dhubri, Assam, India, acting on a tip-off, Border Security Forces (BSF) recovered two three-kilogram improvised explosive devices, one 3.38 revolver and a nine millimeter pistol with seven rounds of ammunition from the Goalpara-bound bus. A hand-written note was also recovered which said these were being sent on an important mission and its success would be good for ﾓusﾔ. The attack resulted in no casualties or damages and the group that claimed responsibility is suspected of being the National Democratic Front of Bodoland (NDFB). The driver and conductor of the bus were taken into custody in connection with the attack.",
2011,Tahab,India,33.833909,74.931107,Facility-Infrastructure Attack,Business,Retail/Grocery/Bakery,"The target of the attack is unknown, but the explosive was detonated near an office of Animal Husbandry Department along with some shops.",Explosives/Bombs/Dynamite,Other Explosive Type,Unknown,The specific motive for the attack is unknown.,"08/10/2011: On Wednesday night, in Tahab, Pulwama, Jammu and Kashmir, India, unidentified militants detonated an improvised explosive device, slightly damaging the window panes of an office of Animal Husbandry Department along with some shops and a shed. No casualties were reported and no group claimed responsibility for the attack.",
2011,Ramban,India,26.517027,85.099964,Facility-Infrastructure Attack,Private Citizens & Property,House/Apartment/Residence,"The house of Ramban village leader, Subodh Rai,",Incendiary,Arson/Fire,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/12/2011: On Thursday night, in Ramban village in Sheohar, Bihar, India, heavily-armed suspected Communist Party of India-Maoist (CPI-Maoist) cadres set ablaze the house of a village head, identified as Subodh Rai. The village head was not present at his house at the time of the arson, and the attack caused an unknown amount of property damage but resulted in no casualties. No group claimed responsibility for the attack.",
2011,Bhopalpatnam,India,18.861224,80.382567,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,A civilian was targeted in the attack.,Melee,Knife or Other Sharp Object,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/11/2011: On Thursday, in Bhopapatnam, Bijapur, Chhattisgarh, India, Communist Party of India-Maoists (CPI-M) abducted and killed an unidentified civilian who they suspected was a police informer. When the civilian was kidnapped the victim was struck with a sharp object on the head. Police later recovered the body on National Highway 16 in Bijapur district and a Maoist note left by the body stated he was killed because he was a suspected police informer.",
2011,Ambassa,India,23.919906,91.850304,Facility-Infrastructure Attack,Transportation,Highway/Road/Toll/Traffic Signal,"The National Highway 44 in Dhalai, Tripura, India was the intended target.",Explosives/Bombs/Dynamite,Other Explosive Type,National Liberation Front of Tripura (NLFT),The specific motive for the attack is unknown.,"08/11/2011: On Thursday afternoon, in Dhalai, Tripura, India, near Khagendra Roaja Para of Ambassa, police foiled an attempted bombing by a group of about nine or 10 militants from National Liberation Front of Tripura (NFLT), led by Athara Babu Halam. Reportedly, the militants were planning to plant explosives on National Highway 44 on or before Independence Day and acting on a tip-off; police raided the Khagendra Roaja Para area. The attack resulted in no casualties or damages and no group claimed responsibility for the attempted attack.",
2011,Lakshmanpur,India,22.635956,88.274098,Facility-Infrastructure Attack,Police,Police Patrol (including vehicles and convoys),A Central Reserve Police Force (CRPF) paramilitary patrol party,Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"08/11/2011: On Thursday morning, in Lakshmanpur forest in Salboni, West Midnapore, West Bengal, India, suspected militants of the Communist Party of India-Maoist (CPI-M) ambushed a Central Reserve Police Force (CRPF) patrol party and injured three paramilitary members. Four to five militants were also wounded in retaliatory fire. No group claimed responsibility, but the CPI-M was suspected of being responsible for the attack.",
