Year,City,Country,latitude,longitude,attack type,Target Type,Target Sub Type,Target,Weapon Type,Weapon sub type,Terrorist Organization,motive,summary,,
2008,Dimapur,India,25.906267,93.72759,Bombing or Explosion,Terrorists/Non-State Militia,Terrorist,The attack targeted a National Socialist Council of Nagaland-Khaplang militant.,Firearms,Unknown Gun Type,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),The specific motive for the attack is unknown.,"07/10/2008: On Thursday in Dimapur, Nagaland, India, a National Socialist Council of Nagaland-Khaplang (NSCN-K) militant was abducted and later killed by National Socialst Council of Nagaland-Isak-Muivah (NSCN-IM) militants.",,
2008,Kohima,India,25.6701,94.1077,Bombing or Explosion,Terrorists/Non-State Militia,Terrorist,The attack targeted a former National Socialist Council of Nagaland-Isak-Muivah militant.,Firearms,Unknown Gun Type,National Socialist Council of Nagaland-Khaplang (NSCN-K),The specific motive for the attack is unknown.,"07/10/2008: On Thursday, a former National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM) militant was abducted and later killed by armed National Socialist Council of Nagaland-Khaplang (NSCN-K) militants in Kohima, Nagaland, India.",,
2008,Bongaigaon,India,26.479468,90.556866,Bombing or Explosion,Business,Retail/Grocery/Bakery,An unspecified betel shop elonging to Dilip Monda,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown..,"07/11/2008: On Friday, an improvised explosive device (IED) was recovered from a betel nut shop belonging to Dilip Mondal at Paglastan market in Bongaigaon, Assam province, India. Later, the Police and Army jointly defused the explosive. No casualties were reported and no claim of responsibility was made for the incident.",,
2008,Lakshmipur,India,25.105576,85.163117,Bombing or Explosion,Government (General),Government Building/Facility/Office,A government Block Development Officerﾒs building,Explosives/Bombs/Dynamite,Unknown Explosive Type,Communist Party of India - Maoist (CPI-Maoist),"The Maoists have given a call for a shutdown in five east Bihar districts - Jamui, Munger, Bhagalpur, Lakhisarai and Banka - to protest the arrest and alleged custodial torture of a self-styled ﾑarea commanderﾒ Kamlesh alias Deepa on 07/06/2008.","07/11/2008: On Friday morning, Communist Party of India (Maoist) / Naxalites detonated explosives against the Block Development Officerﾒs Building in the government complex at Lakshmipur in Jamui district, Bihar province, India. The Maoists have given a call for a shutdown in five east Bihar districts - Jamui, Munger, Bhagalpur, Lakhisarai and Banka - to protest the arrest and alleged custodial torture of a self-styled ﾑarea commanderﾒ Kamlesh alias Deepa on 07/06/2008. No casualties were reported from the incident.",,
2008,Ghoghi,India,25.210536,87.161513,Bombing or Explosion,Transportation,Train/Train Tracks/Trolley,The Jamalpur-Kiul section of the Eastern Railway track,Explosives/Bombs/Dynamite,Unknown Explosive Type,Communist Party of India - Maoist (CPI-Maoist),"The Maoists have given a call for a shutdown in five east Bihar districts - Jamui, Munger, Bhagalpur, Lakhisarai and Banka - to protest the arrest and alleged custodial torture of a self-styled ﾑarea commanderﾒ Kamlesh alias Deepa on 07/06/2008.","07/11/2008: On Friday morning, Communist Party of India (Maoist) / Naxalites detonated explosives destroying the Jamalpur-Kiul section of the Eastern Railway track near Ghoghi-Bariarpur village in Munger district, Bihar province, India. The explosion severely disrupted the movement of trains on the Patna-Howrah route. The Maoists have given a call for a shutdown in five east Bihar districts - Jamui, Munger, Bhagalpur, Lakhisarai and Banka - to protest the arrest and alleged custodial torture of a self-styled ﾑarea commanderﾒ Kamlesh alias Deepa on 07/06/2008. No casualties were reported from the incident.",,
2008,Narganjo,India,24.744071,86.457931,Bombing or Explosion,Transportation,Train/Train Tracks/Trolley,The Eastern Railway track,Explosives/Bombs/Dynamite,Unknown Explosive Type,Communist Party of India - Maoist (CPI-Maoist),"The Maoists have given a call for a shutdown in five east Bihar districts - Jamui, Munger, Bhagalpur, Lakhisarai and Banka - to protest the arrest and alleged custodial torture of a self-styled ﾑarea commanderﾒ Kamlesh alias Deepa on 07/06/2008.","07/11/2008: On Friday morning, Communist Party of India (Maoist) / Naxalites detonated explosives destroying the Eastern Railway track between Narganjo and Ghorparan railway stations in Jamui district, Bihar province, India. The explosion severely disrupted the movement of trains on the Patna-Howrah route. The Maoists have given a call for a shutdown in five east Bihar districts - Jamui, Munger, Bhagalpur, Lakhisarai and Banka - to protest the arrest and alleged custodial torture of a self-styled ﾑarea commanderﾒ Kamlesh alias Deepa on 07/06/2008. No casualties were reported from the incident.",,
2008,Dimapur,India,25.906267,93.72759,Bombing or Explosion,Terrorists/Non-State Militia,Terrorist,An NSCN-K hideout,Firearms,Unknown Gun Type,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),The specific motive for the attack is unknown.,"07/11/2008: On Friday morning, in Lhotovi village, Dimapur, Nagaland, India, two armed groups fired upon each other, killing one civilian in the crossfire.No group claimed responsibility, but authorities believed the National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM) and the National Socialist Council of Nagaland-Khaplang (NSCN-K) were responsible.",,
2008,Mandu,India,19.203477,81.934532,Bombing or Explosion,Private Citizens & Property,Marketplace/Plaza/Square,The target was a market.,Firearms,Unknown Gun Type,Unknown,The specific motive for the attack is unknown.,"07/12/2008: On Saturday, in Mandu, Bastar, Chhattisgarh, India, assailants attacked a market, killing one police officer and one civilian; wounding one police officer and one civilian; and damaging the market.  The assailants also looted one rifle from the police officers.  No group claimed responsibility, but it was widely believed a Maoist faction was responsible.",,
2008,Chatru,India,33.334514,75.715342,Bombing or Explosion,Terrorists/Non-State Militia,Non-State Militia,"Prem Nath, a member of Village Defense Committee (VDC),",Firearms,Unknown Gun Type,Unknown,The specific motive for the attack is unknown..,"07/14/2008: On Monday night, an unknown militant shot and killed Prem Nath, a member of Village Defense Committee (VDC), at Dedal Dhar in the Chatru area in Kishtwar district, Jammu and Kashmir province, India. No claim of responsibility was made for the incident.",,
2008,Kohima,India,25.6701,94.1077,Bombing or Explosion,Private Citizens & Property,Political Party Member/Rally,A  NSCN-IM militant,Firearms,Unknown Gun Type,National Socialist Council of Nagaland-Khaplang (NSCN-K),The specific motive for the attack is unknown.,"07/14/2008: On Monday, a NSCN-IM militant was abducted and later shot dead along with his nephew by National Socialist Council of Nagaland-Khaplang (NSCN-K) militants in Kohima, Nagaland, India.",,
2008,Malkangiri district,India,18.364195,81.892418,Bombing or Explosion,Private Citizens & Property,Vehicles/Transportation,The target was a jeep.,Incendiary,Arson/Fire,Maoists,The specific motive for the attack is unknown..,"07/15/2008: On Tuesday at an unspecified time, in Malkangiri, Orissa, India, during an attack on the local BJP leader's house, the CPI set ablaze a jeep, a tractor and two bikes. There were no reported casualties.",,
2008,Malkangiri,India,18.364195,81.892418,Bombing or Explosion,Police,Police Patrol (including vehicles and convoys),An anti-landmine van carrying the police team,Explosives/Bombs/Dynamite,Other Explosive Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"07/16/2008: On Wednesday afternoon, at about 1600, near MV-126 village, in Malkangiri, Orissa, India, assailants detonated a landmine improvised explosive device near a police anti-landmine van and then fired upon it, killing 20 Special Operations Group police officers and damaging the vehicle.No group claimed responsibility, but it was widely believed the Communist Party of India-Maoist (CPI-Maoist) was responsible.",,
2008,Imphal,India,24.811808,93.945938,Bombing or Explosion,Private Citizens & Property,House/Apartment/Residence,The residence of Sanatombi,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown..,"07/17/2008: On Thursday, suspected militants hurled a bomb at the residence of a woman doctor, Sanatombi, at Hatta in Imphal, Manipur, India. The bomb failed to explode. No group claimed responsibility for the attack.",,
2008,Imphal,India,24.817011,93.936844,Bombing or Explosion,Private Citizens & Property,House/Apartment/Residence,"the residence of an engineer, Langpoklakpam Gunmani",Firearms,Unknown Gun Type,Unknown,The specific motive for the attack is unknown.,"07/17/2008: On Thursday evening at approximately 1940, unidentified militants opened fire on a residence of an engineer, Langpoklakpam Gunmani, at Nongmeibung Pung Makhong in Imphal, Manipur, India.  No one was injured in the attack and there were no claims of responsibility.",,
2008,Banihal,India,33.437013,75.193935,Bombing or Explosion,Transportation,Bus Station/Stop,The crowded Banihal bus stand,Explosives/Bombs/Dynamite,Grenade,Lashkar-e-Taiba (LeT),The specific motive for the attack is unknown..,"07/17/2008: On Thursday afternoon at 13:05, 42 people, mostly civilians, were wounded when  Lashkar-e-Tayyiba (LeT) militants lobbed a grenade at the crowded Banihal bus stand in Doda district, Jammu and Kashmir province, India. Six CRPF security personnel were also injured in the attack. On 08/06/2008, police arrested LeT militant Nazir Ahmed who was allegedly involved in the attack. No claim of responsibility was made for the incident.",,
2008,Bastnar,India,19.203477,81.934532,Bombing or Explosion,Private Citizens & Property,House/Apartment/Residence,The home of a village head,Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),The specific motive for the attack is unknown.,"07/19/2008: On Saturday, in Bastnar, Bastar, Chhattisgarh, India, assailants fired upon and killed a village head at his home. The assailants also stole cash, food, and cattle from the property.  No group claimed responsibility, but it was widely believed the Communist Party of India-Maoist (CPI-Maoist) was responsible.",,
2008,Srinagar,India,34.083658,74.797368,Bombing or Explosion,Tourists,Tour Bus/Van,The target was a tourist bus.,Explosives/Bombs/Dynamite,Grenade,Unknown,The specific motive for the attack is unknown.,"07/20/2008: On Sunday afternoon, at about 1700, in Srinagar, Jammu and Kashmir, India, assailants threw a grenade at a parked tourist bus at Gulmarg resort, killing one child, one civilian, and wounding five civilians.  No group claimed responsibility.",,
2008,Baska district,India,26.662885,91.354721,Bombing or Explosion,Terrorists/Non-State Militia,Terrorist,"Pradeep Boro, alias Phungkha, an area commander of the National Democratic Front of Bodoland,",Firearms,Unknown Gun Type,Unknown,The specific motive for the attack is unknown.,"07/21/2008: On Monday evening at about 1840, in the Baksa district, Assam, India, an area commander of the National Democratic Front of Bodoland (NDFB), Pradeep Boro alias Phungkha, was shot dead by unidentified militants at Barama market. There was no motive or damage reported and no group claimed responsibility, though The NDFB alleged that a new group formed by the head of the Bodoland Territorial Council and a former militant were behind the attack.",,
2008,Bangalore,India,12.914193,77.614665,Bombing or Explosion,Business,Retail/Grocery/Bakery,A toy shop of Nagabhushan,Explosives/Bombs/Dynamite,Other Explosive Type,Unknown,The specific motive for the attack is unknown..,"07/24/2008: On Thursday, an explosion occurred at the Kuvempu Nagar in near the locality of Channapatna, Bangalore, Karnataka province, India.  A toy store was destroyed in the blast, caused by a bomb constructed with ammonium nitrate. No casualties were reported and no claim of responsibility was made for the incident. Police detained two suspected individuals in connection to the bombing attack.",,
2008,Srinagar,India,34.083658,74.797368,Bombing or Explosion,Transportation,Bus Station/Stop,Amarnath pilgrims waiting at the Batmaloo bus stand,Explosives/Bombs/Dynamite,Grenade,Unknown,The specific motive for the attack is unknown..,"07/24/2008: On Thursday, unidentified militants lobbed a grenade at a crowded Batmaloo bus stop where Amarnath pilgrims were waitin in Srinagar, Jammu and Kashmir, India, killing five and wounding 18.  No claim of responsibility was issued for the attack.",,
2008,Bangalore,India,12.928004,77.503795,Bombing or Explosion,Business,Retail/Grocery/Bakery,A car showroom next to the Regional Transport Office along Mysore Road,Explosives/Bombs/Dynamite,Other Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/25/2008: On Friday afternoon, a series of explosions erupted within 45 minutes in Bangalore's central business district, Karnataka province, India, killing three and wounding 20. The sixth of eight explosions, caused by improvised explosive devices fitted with timers, occurred along Mysore Road near a car showroom. No claim of responsibility was issued.",,
2008,Bangalore,India,12.942004,77.608304,Bombing or Explosion,Private Citizens & Property,Marketplace/Plaza/Square,Civlians near a commercial complex,Explosives/Bombs/Dynamite,Other Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/25/2008: On Friday afternoon, a series of explosions erupted within 45 minutes in Bangalore's central business district, Karnataka province, India, killing three and wounding 20. The second of eight explosions, caused by improvised explosive devices fitted with timers, occurred in the Adugodi area near a commercial complex. No claim of responsibility was issued.",,
2008,Bangalore,India,12.96828,77.59495,Bombing or Explosion,Business,Medical/Pharmaceutical,The Mallya Hospital,Explosives/Bombs/Dynamite,Other Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/25/2008: On Friday afternoon, a series of explosions erupted within 45 minutes in Bangalore's central business district, Karnataka province, India, killing three and wounding 20. The seventh of eight explosions, caused by improvised explosive devices fitted with timers, occurred near the Mallya Hospital. No claim of responsibility was issued for the attack.",,
2008,Bangalore,India,12.961574,77.609935,Bombing or Explosion,Military,Military Recruiting Station/Academy,The Rashtriya Military School on the Langford Road,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/25/2008: On Friday afternoon, a series of explosions erupted within 45 minutes in Bangalore's central business district, Karnataka province, India, killing three and wounding 20. The eighth of eight explosions, caused by improvised explosive devices fitted with timers, occurred near the Rashtriya Military School on the Langford Road. No claim of responsibility was issued for the attack.",,
2008,Bangalore,India,12.922637,77.617444,Bombing or Explosion,Transportation,Bus Station/Stop,A bus stop near the Madivala check post on Hosur Road,Explosives/Bombs/Dynamite,Other Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/25/2008: On Friday afternoon, a series of explosions erupted within 45 minutes in Bangalore's central business district, Karnataka province, India, killing three and wounding 20. The first of eight explosions, caused by improvised explosive devices fitted with timers, occurred at a bus stop. No claim of responsibility was issued for the incident.",,
2008,Bangalore,India,12.971599,77.594563,Bombing or Explosion,Unknown,0,No intended targets were reported.,Explosives/Bombs/Dynamite,Other Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/25/2008: On Friday afternoon, a series of explosions erupted within 45 minutes in Bangalore's central business district, Karnataka province, India, killing three and wounding 20. The fifth of eight explosions, caused by improvised explosive devices fitted with timers, occurred along the Mysore Road near a storm drain. No claim of responsibility was issued.",,
2008,Bangalore,India,12.971599,77.594563,Bombing or Explosion,Unknown,0,No intended targets were reported.,Explosives/Bombs/Dynamite,Other Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/25/2008: On Friday afternoon, a series of explosions erupted within 45 minutes in Bangalore's central business district, Karnataka province, India, killing three and wounding 20. The fourth of eight explosions, caused by improvised explosive devices fitted with timers, occurred on Mysore Road at a power supply transformer. No claim of responsibility was issued.",,
2008,Bangalore,India,12.942004,77.608304,Bombing or Explosion,Unknown,0,No intended targets were reported.,Explosives/Bombs/Dynamite,Other Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/25/2008: On Friday afternoon, a series of explosions erupted within 45 minutes in Bangalore's central business district, Karnataka province, India, killing three and wounding 20. The third of eight explosions, caused by improvised explosive devices fitted with timers, occurred at Adugodi near a storm drain. No claim of responsibility was issued for the attack.",,
2008,Surat,India,21.211038,72.853113,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,Explosives/Bombs/Dynamite,Vehicle,Unknown,The specific motive for the attack is unknown.,"07/27/2008: On Sunday evening, police found a second car bomb, a red Wagon-R, with four bombs inside it on the Varachha Road in Surat. No claim of responsibility has been reported.",,
2008,Godda,India,24.825521,87.213518,Bombing or Explosion,Transportation,Bus Station/Stop,A bus stand,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/27/2008: On Sunday, at least five people were injured in a bomb blast near a bus stand in Jharkhand, India's Godda district.  There was no claim of responsibility for the attack.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,Explosives/Bombs/Dynamite,Vehicle,Unknown,The specific motive for the attack is unknown.,"07/27/2008: On Sunday morning, a black Wagon-R car, parked on the side of the road was found by poilce. A bomb and 25 small packets containing the white powder weighing 25 kg were found in the black car.  A detonator and two watches were also recovered on the scene. No group has claimed responsibility for the car bomb.",,
2008,Dimapur,India,25.894712,93.715575,Bombing or Explosion,Terrorists/Non-State Militia,Terrorist,"A National Socialist Council of Nagaland-Khaplang (NSCN-K) militant, Vitoshe Sumi",Unknown,0,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),The specific motive for the attack is unknown.,"07/27/2008: On Sunday, national Socialist Council of Nagaland - Isak-Muivah (NSCN-IM) militants killed an abducted National Socialist Council of Nagaland - Khaplang (NSCN - K) militant and  a civilian in Signal Angami.",,
2008,Kokrajhar,India,26.398022,90.269415,Bombing or Explosion,Violent Political Party,Party Official/Candidate/Other Personnel,Leader: Rimal Mushahary,Firearms,Unknown Gun Type,Unknown,The specific motive for the attack is unknown.,"07/27/2008: On Sunday, unidentified militants killed a leader of the Bodo People's Front party at a poilce station in Kokrajhar. No claim of responsibility has been reported.",,
2008,Dimapur,India,25.906267,93.72759,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,A civilian was the target.,Unknown,0,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),The specific motive for the attack is unknown.,"07/27/2008: On Sunday, a NSCN-K militant and a civilian were abducted by NSCN-IM militants.",,
2008,Imphal,India,24.817011,93.936844,Bombing or Explosion,Government (General),"Government Personnel (excluding police, military)",The residence of the Food and Civil Supplies Minister Y. Erabot at Khurai Ahongei,Explosives/Bombs/Dynamite,Grenade,Unknown,The specific motive for the attack is unknown.,"07/28/2008: On Monday, two bombs were hurled by militants at a residence of the Food and Civil Supplies Minister Y. Erabot at Khurai Ahongei in Imphal. No claim of responsibility has been reported.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Business,0,A diamond market adjacent to Varacha Road,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/29/2008: On Tuesday, a bomb was placed at a diamond market adjacent to Varacha Road in Surat, but police found and defused it before it detonated. No casualties were reported. No claim of responsibility has been reported.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Business,0,Radhakrishna textile market,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/29/2008: On Tuesday, a bomb was placed at the Radhakrishna textile market in Surat, but police found and defused it before it detonated. No casualties were reported. No claim of responsibility has been reported.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Business,0,A diamond market adjacent to Varacha Road,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/29/2008: On Tuesday, a bomb was placed at a diamond market adjacent to Varacha Road in Surat, but police found and defused it before it detonated. No casualties were reported. No claim of responsibility has been reported.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians were the target in the attack.,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/29/2008: On Tuesday, a bomb was placed in the Katargam area in Surat, but police found and defused it before it detonated. No casualties were reported. No claim of responsibility has been reported.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians were the target in the attack.,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/29/2008: On Tuesday, a bomb was placed in the Katargam area in Surat, but police found and defused it before it detonated. No casualties were reported. No claim of responsibility has been reported.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians were the target in the attack.,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/29/2008: On Tuesday, a bomb was placed in the Katargam area in Surat, but police found and defused it before it detonated. No casualties were reported. No claim of responsibility has been reported.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians were the target in the attack.,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/29/2008: On Tuesday, a bomb was placed in the Katargam area in Surat, but police found and defused it before it detonated. No casualties were reported. No claim of responsibility has been reported.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians were the target in the attack.,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/29/2008: On Tuesday, a bomb was placed in the Katargam area in Surat, but police found and defused it before it detonated. No casualties were reported. No claim of responsibility has been reported.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians were the target in the attack.,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/29/2008: On Tuesday, a bomb was placed in the Katargam area in Surat, but police found and defused it before it detonated. No casualties were reported. No claim of responsibility has been reported.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians were the target in the attack.,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/29/2008: On Tuesday, a bomb was placed in the Katargam area in Surat, but police found and defused it before it detonated. No casualties were reported. No claim of responsibility has been reported.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians were the target in the attack.,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/29/2008: On Tuesday, a bomb was placed in the Katargam area in Surat, but police found and defused it before it detonated. No casualties were reported. No claim of responsibility has been reported.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians were the target in the attack.,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/29/2008: On Tuesday, a bomb was placed in the Katargam area in Surat, but police found and defused it before it detonated. No casualties were reported. No claim of responsibility has been reported.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians were the target in the attack.,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/29/2008: On Tuesday, a bomb was placed in the Katargam area in Surat, but police found and defused it before it detonated. No casualties were reported. No claim of responsibility has been reported.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians were the target in the attack.,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/29/2008: On Tuesday, a bomb was placed in the Katargam area in Surat, but police found and defused it before it detonated. No casualties were reported. No claim of responsibility has been reported.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians were the target in the attack.,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/29/2008: On Tuesday, a bomb was placed in the Katargam area in Surat, but police found and defused it before it detonated. No casualties were reported. No claim of responsibility has been reported.",,
2008,Surat,India,21.220496,72.831058,Bombing or Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians were the target in the attack.,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,The specific motive for the attack is unknown.,"07/29/2008: On Tuesday, a bomb was placed in the Katargam area in Surat, but police found and defused it before it detonated. No casualties were reported. No claim of responsibility has been reported.",,
