Year,City,Country,latitude,longitude,attack type,Target Type,Target Sub Type,Target,Weapon Type,Weapon sub type,Terrorist Organization,motive,summary,,,,
1998,Coimbatore,India,11.016845,76.955832,Armed Assault,Private Citizens & Property,Race/Ethnicity Identified,Indian Civilians and property in Coimbatore,Explosives/Bombs/Dynamite,Vehicle,Al-Ummah,Unknown,"02/14/1998: Thirty-six people were killed and approximately 100 people injured in a series of car bomb explosions in Coimbatore, Tamil Nadu State, southern India. A total of 12 explosions occurred in several parts of the city within about 15 minutes. No one claimed responsibility for the blasts, but members of the militant group Al Ummah were reportedly responsible.",,,,
1998,Coimbatore,India,11.016845,76.955832,Armed Assault,Private Citizens & Property,Race/Ethnicity Identified,Indian Civilians and property in Coimbatore,Explosives/Bombs/Dynamite,Vehicle,Al-Ummah,Unknown,"02/14/1998: Thirty-six people were killed and approximately 100 people injured in a series of car bomb explosions in Coimbatore, Tamil Nadu State, southern India. A total of 12 explosions occurred in several parts of the city within about 15 minutes. No one claimed responsibility for the blasts, but members of the militant group Al Ummah were reportedly responsible.",,,,
1998,Coimbatore,India,11.016845,76.955832,Armed Assault,Private Citizens & Property,Race/Ethnicity Identified,Indian Civilians and property in Coimbatore,Explosives/Bombs/Dynamite,Vehicle,Al-Ummah,Unknown,"02/14/1998: Thirty-six people were killed and approximately 100 people injured in a series of car bomb explosions in Coimbatore, Tamil Nadu State, southern India. A total of 12 explosions occurred in several parts of the city within about 15 minutes. No one claimed responsibility for the blasts, but members of the militant group Al Ummah were reportedly responsible.",,,,
1998,Coimbatore,India,11.016845,76.955832,Armed Assault,Private Citizens & Property,Race/Ethnicity Identified,Indian Civilians and property in Coimbatore,Explosives/Bombs/Dynamite,Vehicle,Al-Ummah,Unknown,"02/14/1998: Thirty-six people were killed and approximately 100 people injured in a series of car bomb explosions in Coimbatore, Tamil Nadu State, southern India. A total of 12 explosions occurred in several parts of the city within about 15 minutes. No one claimed responsibility for the blasts, but members of the militant group Al Ummah were reportedly responsible.",,,,
1998,Coimbatore,India,11.016845,76.955832,Armed Assault,Private Citizens & Property,Race/Ethnicity Identified,Indian Civilians and property in Coimbatore,Explosives/Bombs/Dynamite,Vehicle,Al-Ummah,Unknown,"02/14/1998: Thirty-six people were killed and approximately 100 people injured in a series of car bomb explosions in Coimbatore, Tamil Nadu State, southern India. A total of 12 explosions occurred in several parts of the city within about 15 minutes. No one claimed responsibility for the blasts, but members of the militant group Al Ummah were reportedly responsible.",,,,
1998,Coimbatore,India,11.016845,76.955832,Armed Assault,Private Citizens & Property,Race/Ethnicity Identified,Indian Civilians and property in Coimbatore,Explosives/Bombs/Dynamite,Vehicle,Al-Ummah,Unknown,"02/14/1998: Thirty-six people were killed and approximately 100 people injured in a series of car bomb explosions in Coimbatore, Tamil Nadu State, southern India. A total of 12 explosions occurred in several parts of the city within about 15 minutes. No one claimed responsibility for the blasts, but members of the militant group Al Ummah were reportedly responsible.",,,,
1998,Coimbatore,India,11.016845,76.955832,Armed Assault,Private Citizens & Property,Race/Ethnicity Identified,Indian Civilians and property in Coimbatore,Explosives/Bombs/Dynamite,Vehicle,Al-Ummah,Unknown,"02/14/1998: Thirty-six people were killed and approximately 100 people injured in a series of car bomb explosions in Coimbatore, Tamil Nadu State, southern India. A total of 12 explosions occurred in several parts of the city within about 15 minutes. No one claimed responsibility for the blasts, but members of the militant group Al Ummah were reportedly responsible.",,,,
1998,Coimbatore,India,11.016845,76.955832,Armed Assault,Private Citizens & Property,Race/Ethnicity Identified,Indian Civilians and property in Coimbatore,Explosives/Bombs/Dynamite,Vehicle,Al-Ummah,Unknown,"02/14/1998: Thirty-six people were killed and approximately 100 people injured in a series of car bomb explosions in Coimbatore, Tamil Nadu State, southern India. A total of 12 explosions occurred in several parts of the city within about 15 minutes. No one claimed responsibility for the blasts, but members of the militant group Al Ummah were reportedly responsible.",,,,
1998,Coimbatore,India,11.016845,76.955832,Armed Assault,Private Citizens & Property,Race/Ethnicity Identified,Indian Civilians and property in Coimbatore,Explosives/Bombs/Dynamite,Vehicle,Al-Ummah,Unknown,"02/14/1998: Thirty-six people were killed and approximately 100 people injured in a series of car bomb explosions in Coimbatore, Tamil Nadu State, southern India. A total of 12 explosions occurred in several parts of the city within about 15 minutes. No one claimed responsibility for the blasts, but members of the militant group Al Ummah were reportedly responsible.",,,,
1998,Coimbatore,India,11.016845,76.955832,Armed Assault,Private Citizens & Property,Race/Ethnicity Identified,Indian Civilians and property in Coimbatore,Explosives/Bombs/Dynamite,Vehicle,Al-Ummah,Unknown,"02/14/1998: Thirty-six people were killed and approximately 100 people injured in a series of car bomb explosions in Coimbatore, Tamil Nadu State, southern India. A total of 12 explosions occurred in several parts of the city within about 15 minutes. No one claimed responsibility for the blasts, but members of the militant group Al Ummah were reportedly responsible.",,,,
1998,Mumbai,India,19.075984,72.877656,Armed Assault,Transportation,Train/Train Tracks/Trolley,A railway station in Mumbai,Explosives/Bombs/Dynamite,Time Fuse,Unknown,Unknown,"02/27/1998: A bomb, concealed in a briefcase, went off in a slum near a city railway station in Mumbai, India, killing two people and injuring five others. There was no claim of responsibility for the attack.",,,,
1998,Mumbai,India,19.075984,72.877656,Armed Assault,Transportation,Train/Train Tracks/Trolley,A railway station in Mumbai,Explosives/Bombs/Dynamite,Time Fuse,Unknown,Unknown,"02/27/1998: A bomb killed one person and injured 13 others, seven of them seriously, at a railway station in the north of Mumbai, India. No group claimed responsibility for the attack.",,,,
1998,Virar,India,19.45067,72.812571,Armed Assault,Transportation,Train/Train Tracks/Trolley,A railway station in Virar,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),Unknown,Unknown,"02/27/1998: One person died and another two were injured in a suicide bomb attack near a railway station in Virar, India, a Mumbai suburb about 35km north of the city. No group claimed responsibility for the attack.",,,,
1998,Thub,India,33.200294,74.730781,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,"Residents of Thub Village, Pakistan",Firearms,Automatic Weapon,Unknown,Unknown,"04/18/1998: Unknown militants shot and killed thirteen people in Thub village, Pakistan. The attackers fired indiscriminately causing a number of injuries and damage to the village.",,,,
1998,Udhampur district,India,32.925224,75.135264,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,"Residents of Barankot, India",Firearms,Automatic Weapon,Unknown,Unknown,"04/22/1998: Unknown militants entered the village of Barankot, India, barged into three houses and fired at the residents. A number of people were injured, 26 people were killed, and some of the houses were damaged.",,,,
1998,Surankot,India,33.639869,74.263416,Armed Assault,Private Citizens & Property,Race/Ethnicity Identified,Indian civilians of the Punch District,Firearms,Unknown Gun Type,Unknown,Unknown,"05/05/1998: Unnamed militants attacked the house of a retired forest department official in Surankot town of Punch District, Jammu and Kashmir State, India, killing four civilians.",,,,
1998,Doda district,India,33.14575,75.548049,Armed Assault,Private Citizens & Property,Race/Ethnicity Identified,Indian civilians of the Doda District,Firearms,Unknown Gun Type,Unknown,Unknown,"05/05/1998: Unnamed militants attacked and killed five members of a funeral procession in Dhakikot in the Doda District, Jammu and Kashmir State, India.",,,,
1998,Chapnali,India,33.778175,76.576171,Armed Assault,Private Citizens & Property,"Procession/Gathering (funeral, wedding, birthday, religious)",Hindu Wedding Party,Firearms,Automatic Weapon,Unknown,Unknown,"06/19/1998: Five men with automatic rifles ambushed a group of Hindu revelers returning from a wedding in Chapnali, Kashmir, India, killing 25 people and injuring six. The gunmen emerged from the woods as the wedding party was resting by a stream. Police officials blamed Pakistan-backed Islamic separatists. None of Kashmir's separatist groups claimed responsibility.",,,,
1998,Kokrajhar District,India,26.398022,90.269415,Armed Assault,Police,Police Security Forces/Officers,Indian Policemen in Kokrajhar District,Firearms,Automatic Weapon,Unknown,Unknown,"07/17/1998: Bodo militants attacked Assam policemen in the Kokrajhar District, India, killing all seven policemen.",,,,
1998,Chanapora,India,34.033703,74.808308,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Citizens of Channa,Firearms,Unknown Gun Type,Unknown,Unknown,"07/28/1998: Unknown perpetrators attacked the village of Channa, India, killing eight and wounding three.",,,,
1998,Swaram,India,33.778175,76.576171,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Citizens of Swaran,Firearms,Unknown Gun Type,Unknown,Unknown,"07/28/1998: Unknown perpetrators attacked the village of Sarwan, India, killing nine and wounding five.",,,,
1998,Dhamdhama,India,26.556685,91.479862,Armed Assault,Private Citizens & Property,Marketplace/Plaza/Square,Civilians at the Dhamdhama weekly market,Explosives/Bombs/Dynamite,Remote Trigger,Bodo Liberation Tigers (BLT),Unknown,"07/29/1998: The Bodo Liberation Tiger Force was suspected of planting a bomb that exploded at the Dhamdhama weekly market, killing eleven and wounding twenty-nine others.",,,,
1998,Mainaopuri,India,26.200604,92.937574,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Bodo Villagers,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,Unknown,"07/29/1998: Santhal tribe members attacked Bobo villagers in two related incidents, resulting in a total of 11 deaths. In this case, the village of Mainaopuri, India was attacked.",,,,
1998,Kokrajhar,India,26.398022,90.269415,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Bodo Villagers,Melee,Blunt Object,Unknown,Unknown,"07/29/1998: Santhal tribe members attacked Bobo villagers in two related incidents, resulting in a total of 11 deaths. In this case, the village of Dimaguri, India was attacked.",,,,
1998,Amarpur,India,23.519468,91.654209,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,"Civilians in Amarpur, India",Firearms,Unknown Gun Type,National Liberation Front of Tripura (NLFT),Unknown,"08/02/1998: National Liberation Front of Tripura (NLFT) extremists killed three people and abducted one person from Amarpur, India. The outcome of the kidnapping was not disclosed in reports.",,,,
1998,Kalaban,India,32.501944,76.021667,Armed Assault,Business,Construction,Housing road construction laborers in Kalabanh,Firearms,Automatic Weapon,Unknown,Unknown,"08/03/1998: Unknown perpetrators armed with automatic weapons swooped in on housing road construction laborers while they were asleep in Kalabanh, India, killing 26 and injuring 11. No further information on this incident was provided.",,,,
1998,Satrandi,India,31.104829,77.17339,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,"Civilians in Satrandi, India",Firearms,Unknown Gun Type,Unknown,Unknown,"08/03/1998: Unknown perpetrators shot dead five people, including Police Constable Shakti Singh, and injured three in Satrandi, India.",,,,
1998,Siala,India,33.778175,76.576171,Armed Assault,Private Citizens & Property,Political Party Member/Rally,"Relatives of Imtiaz, a militant of the Tehrik-e-Jihad group",Firearms,Unknown Gun Type,Hizbul Mujahideen (HM),Unknown,"08/03/1998: Assailants entered the village of Siala, India, and killed 19 people. The victims of the attack were all relatives of Imtiaz, a suspected member o fthe Hizb-ul-Mujahidin (HM) group. Police suspected that militants from Hizb-ul-Mujahidin (HM) group were responsible for the attack.",,,,
1998,Srinagar,India,34.083658,74.797368,Armed Assault,Police,Police Security Forces/Officers,"Kashmir Police in Srinagar, India",Explosives/Bombs/Dynamite,Grenade,Unknown,Unknown,"08/04/1998: Unknown perpetrators lobbed a grenade at a police vehicle in Kashmir's capital, Srinagar, in India. The grenade missed the target and wounded seven bystanders.",,,,
1998,Udhampur district,India,32.925224,75.135264,Armed Assault,Private Citizens & Property,Religion Identified,"Hindus in Balmatkote, India",Firearms,Unknown Gun Type,Unknown,Unknown,"08/04/1998: Unknown perpetrators shot three Hindus and set fire to seven homes in Balmatkote, India. No further information was provided on this incident.",,,,
1998,Unknown,India,33.778175,76.576171,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,"Civilians in Kashmir, India",Firearms,Unknown Gun Type,Unknown,Unknown,08/04/1998: Nineteen people were shot and killed by unknown assailants in Jammu and Kashmir State in India. It was thought that the victims were relatives of militants from the Hizb-ul-Mujahidin (HM) group and therefore were probably killed by a rival militant group.,,,,
1998,Vizianagaram district,India,18.106658,83.395551,Armed Assault,Police,Police Security Forces/Officers,"Indian Police officers in Kuppuguda, India",Firearms,Unknown Gun Type,People's War Group (PWG),Unknown,"08/09/1998: Nine members of the People's War Group and three policemen were killed in an encounter at Kuppuguda village in Vijayanagaram District. The incident took place when the Group rebels, who were holding a meeting, fired at a patrol party.",,,,
1998,Guwahati,India,26.179222,91.753346,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)","Indian soldiers at a railway station in Guwahati, India",Explosives/Bombs/Dynamite,Remote Trigger,Unknown,Unknown,"08/24/1998: Three people were killed and 20 injured when a bomb exploded at a railway station in Guwahati, India. The intended targets were Indian soldiers standing on the train platform. A police official said that although there were no claims of responsibility, the attackers were most likely either Bodo tribal guerrillas who were fighting for a homeland carved out of Assam or a radical Assamese group which aimed to drive out all non-Assamese people from the province.",,,,
1998,Saraikhola,India,26.209015,92.938442,Armed Assault,Transportation,Bridge/Car Tunnel,Bridge on the Tarang River,Explosives/Bombs/Dynamite,Time Fuse,Unknown,Unknown,"09/25/1998: One person was killed when unknown perpetrators blew up a wooden bridge on the Tarang river near Saraikhola, by a remote-controlled device in Assam, India. No injuries were reported, and no group claimed responsibility for the attack.",,,,
1998,Srinagar,India,34.083658,74.797368,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)",Kashmir Border Guards,Explosives/Bombs/Dynamite,Time Fuse,Unknown,Unknown,"09/25/1998: Two Border Security Force (BSF) personnel were killed and another seriously injured when a powerful bomb exploded inside a temporary post in Sringar, India. No group claimed responsibility for the attack, but Islamic militants were suspected.",,,,
1998,Bangwani,India,33.778175,76.576171,Armed Assault,Private Citizens & Property,Political Party Member/Rally,"Relatives of a Pro-Government Militant in South Kashmir, India",Explosives/Bombs/Dynamite,Remote Trigger,Unknown,Unknown,"10/06/1998: Eleven people were killed from a land mine that exploded as their vehicle was traveling through Bangwani, a south Kashmir village in India. Officials suspected that the unknown assailants exploded the device by a remote-control. The victims were allegedly family members of Ghulam Nabi Jan, a prominent reformed militant.",,,,
1998,Chawmanu,India,23.851472,91.995504,Armed Assault,Violent Political Party,Party Official/Candidate/Other Personnel,Leader: Mr. Santi Kuma Tripura,Firearms,Unknown Gun Type,National Liberation Front of Tripura (NLFT),Unknown,"10/08/1998: Members of the National Liberation Front of Tripura (NLFT) shot and killed Mr. Santi Kumar Tripura, a senior Communist Party of India (Marxist) (CPI-M) leader, in Chawmanu, India.",,,,
1998,Unknown,India,23.940848,91.988153,Armed Assault,Violent Political Party,Party Official/Candidate/Other Personnel,Member: Mr. Lalit Devbarma,Melee,Knife or Other Sharp Object,National Liberation Front of Tripura (NLFT),Unknown,"10/08/1998: Communist Party of India (Marxist) (CPI-M) member, Mr. Lalit Devbarma, and six of his relatives were hacked to death in Tripura, India. Officials suspected the National Liberation Front of Tripura (NLFT) of carrying out this attack.",,,,
1998,Unknown,India,26.275268,92.953375,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,"Residents of Assam, India",Firearms,Unknown Gun Type,Bodo Liberation Tigers (BLT),Unknown,"10/08/1998: Thirteen people were gunned down in Assam, India. Officials suspected that the Bodo Liberation Tigers (BLT) were responsible for this attack.",,,,
1998,Dantewada District,India,18.9,81.35,Armed Assault,Police,Police Security Forces/Officers,"Indian Policemen in Dantewada, India",Explosives/Bombs/Dynamite,Land Mine,Naxalites,Unknown,"10/08/1998: Sixteen policemen were killed and fourteen injured from a land mine that exploded in Dantewada District, India. Following blast, suspected Naxalites ambushed the vehicle. No further information was provided on this attack.",,,,
1998,Tamahart,India,26.303465,89.851099,Armed Assault,Government (General),Government Building/Facility/Office,"Forestry Guards in Tamahat, India",Firearms,Unknown Gun Type,Unknown,Unknown,"10/10/1998: Six forestry guards from the Tamahat Forestry Authority were killed by suspected Santhal tribesmen in Tamahat, India. No further information was provided on this incident.",,,,
1998,Sonitpor district,India,26.678779,92.857672,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,"Residents of Sonitpur, India",Firearms,Unknown Gun Type,National Democratic Front of Bodoland (NDFB),Unknown,"10/10/1998: The National Democratic Front of Bodoland (NDFB) was suspected for using firearms to attack residents of Sonitpur, India. The attack killed five people and injured five others.",,,,
1998,Gelnel,India,25.209087,93.817886,Armed Assault,Transportation,Bus (excluding tourists),"Civilians traveling on two passenger buses, escorted by Manipur Rifles personnel",Firearms,Automatic Weapon,Unknown,Unknown,"10/16/1998: Suspected Kuki militants attacked two passenger buses, escorted by Manipur Rifles personnel, near Genel, India. Nine Naga villagers were killed and ten others injured. The buses sustained minor damage.",,,,
1998,Athiabari,India,26.398022,90.269415,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,"Civilians in Kokrajhar District, India",Firearms,Automatic Weapon,Bodo Liberation Tigers (BLT),Unknown,"10/17/1998: Seven people were gunned down by Bodo Liberation Tigers (BLT) militants in Kokrajhar District, India, near the Athiabari relief camp. Officials stated that the victims were traveling to the Sapakata river to fish when they were suddenly attacked.",,,,
1998,Safa Pora,India,34.238199,74.660068,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)","Indian Army troops in Safapura, India",Explosives/Bombs/Dynamite,Land Mine,Unknown,Unknown,"10/23/1998: An senior army official was killed and three soldiers seriously injured when their vehicle ran over a land mine planted by unidentified perpetrators in Safapura, Baramula District, India. The vehicle sustained major damages.",,,,
1998,Patacharkuchi,India,26.51313,91.257351,Armed Assault,Police,Police Security Forces/Officers,"Indian police officers in Patacharkuchi, India",Firearms,Unknown Gun Type,Bodo Liberation Tigers (BLT),Unknown,"11/07/1998: Six people were killed and 24 were injured in a grenade attack and the subsequent crossfire between police and militants in Patacharkuchi, India. The Bodo Liberation Tigers (BLT) was suspected of the attack.",,,,
1998,Srinagar,India,34.083658,74.797368,Armed Assault,Religious Figures/Institutions,0,"Hazratbal Shrine, in Srinagar",Explosives/Bombs/Dynamite,Grenade,Unknown,Unknown,"11/19/1998: Fifteen people were injured in a hand grenade attack at the Hazratbal Shrine, Kashmir's holiest Islamic shrine, in Srinagar, Jammu and Kashmir, India. No one claimed responsibility for the attack.",,,,
1998,Anantnag,India,33.733336,75.148983,Armed Assault,Police,"Police Building (headquarters, station, school)","Police Station in Anantnag, India",Explosives/Bombs/Dynamite,Grenade,Unknown,Unknown,"11/21/1998: A grenade was lobbed at a police station in a crowded shopping area in Anantnag, Kashmir, India. The grenade, which missed its target, hit civilians, killing one and injuring 40 others. No further information was provided.",,,,
1998,Sriguhphara,India,33.816087,75.213843,Armed Assault,Police,Police Patrol (including vehicles and convoys),"Two Indian patrol jeeps in Sriguhphara,  India",Explosives/Bombs/Dynamite,Land Mine,Unknown,Unknown,"11/24/1998: A land mine blew up two patrol jeeps of an anti-terrorist outfit in Sriguhphara, Kashmir, India. Six policemen were killed and four were seriously wounded. The perpetrators of this incident were unknown.",,,,
1998,Tinsukia district,India,27.491929,95.347833,Armed Assault,Utilities,Oil,"Diesel pipeline between the Digboi oil refinery and Tinsukia, India",Explosives/Bombs/Dynamite,Unknown Explosive Type,United Liberation Front of Assam (ULFA),Unknown,"11/26/1998: A huge explosion destroyed a diesel pipeline between the Digboi oil refinery and Tinsukia, India. Immediately after the explosion, a fire broke out and the pipeline was blown off from both sides. Police suspected that the attack was perpetrated by the United Liberation Front of Assam, though no official claim of responsibility was issued by the group.",,,,
1998,Moranhat,India,27.178162,94.916653,Armed Assault,Police,Police Security Forces/Officers,"Central Industrial Security Force in Moranhat, India",Firearms,Unknown Gun Type,United Liberation Front of Assam (ULFA),Unknown,"11/27/1998: Five Central Industrial Security Force personnel were gunned down at the Moranhat police station in the Sibsagar district of Assam State, India. Police suspected that the attack was the handiwork of the United Liberation Front of Assam though no official claim of responsibility was issued by the group.",,,,
1998,Nalli,India,27.442264,94.258405,Armed Assault,Utilities,Oil,"Oil pipeline near Nalli, India",Explosives/Bombs/Dynamite,Unknown Explosive Type,United Liberation Front of Assam (ULFA),Unknown,"11/27/1998: The United Liberation Front of Assam was suspected of bombing an oil pipeline, causing extensive damage to a nearby major railway bridge near Nalli, India. There were no casualties reported.",,,,
1998,Darrang District,India,26.459018,92.024804,Armed Assault,Transportation,Bridge/Car Tunnel,"Major bridge in Darrang District, India",Explosives/Bombs/Dynamite,Unknown Explosive Type,United Liberation Front of Assam (ULFA),Unknown,"11/27/1998: The United Liberation Front of Assam were suspected of bombing a bridge in Darrang District, Assam State, India. There were no casualties reported in this incident.",,,,
1998,New Delhi,India,28.632381,77.220004,Armed Assault,Government (General),"Government Personnel (excluding police, military)",Chief Minister Prafulla Kumar Mahanta,Explosives/Bombs/Dynamite,Vehicle,Unknown,Unknown,"12/18/1998: Seven people were killed and forty-seven injured from a car bomb explosion aimed at killing the Chief Minister, Prafulla Kumar Mahant, in New Delhi, India. No group or individual claimed credit for this attack. Two of the perpetrators who were in the car died from the explosion.",,,,
1998,Guwahati,India,26.179222,91.753346,Armed Assault,Police,Police Security Forces/Officers,"Policemen in Guwahati, India",Explosives/Bombs/Dynamite,Remote Trigger,United Liberation Front of Assam (ULFA),Unknown,"12/20/1998: Suspected United Liberation Front of Assam (ULFA) members attacked policemen Guwahati, India and ten died in the attack.",,,,
1999,Pattan,India,34.16047,74.555116,Armed Assault,Police,"Police Building (headquarters, station, school)","Police complex in Pattan, India",Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",Unknown,Unknown,"01/04/1999: Reported Islamic militants fired four missiles at a police complex in Pattan, 25 kilometers north of Srinagar, India. One police officer and his wife died as a result of the attack. The family's five-year-old child was seriously injured in the attack, which also damaged several other buildings in the complex.",,,,
1999,Manoharpur,India,22.232255,83.685368,Armed Assault,Private Citizens & Property,Religion Identified,"Christian Missionary and his two sons in Manoharpur, India",Incendiary,Arson/Fire,Vishwa Hindu Parishad (VHP),Unknown,"01/23/1999: In Manoharpur, India, an Australian missionary and his two sons were trapped in their car and burned to death by a mob of at least 14 men believed to be a supporters of Bajrang Dal, a Hindu fundamentalist organization.",,,,
1999,Allahabad,India,25.435801,81.846311,Armed Assault,Religious Figures/Institutions,Religious Figure,"Five Christian missionaries at a Hindu pilgrimage site in Allahabad, India",Melee,"Hands, Feet, Fists",Vishwa Hindu Parishad (VHP),"Police stated the missionaries -- all Indian nationals -- had been accused of trying to convert Hindus during a religious festival on the Ganges, one of the holiest Hindu pilgrimage sites.","01/25/1999: Radical Hindus attacked five Christian missionaries at a Hindu pilgrimage site in Allahabad, India. The victims, all Baptist missionaries, were dragged to the banks of the river Ganges and beaten by activists of the militant Bajrang Dal organization. All the missionaries were Indian nationals.",,,,
1999,Narayanpur,India,19.760181,78.705045,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,"Naxalite (Maoist guerrilla) sympathizers in Narayanpur, India",Firearms,Unknown Gun Type,Ranbir Sena,To deter villagers from harboring or providing safe haven for Naxalites.,02/11/1999: Eleven civilians were killed and five wounded when 100 heavily-armed Ranvir Sena members attacked Narayanpur villagers who were suspected of harboring Maoist guerrillas (Naxalites). The outlawed Indian landowners' militia threatened more attacks on Maoist sympathizers if Naxalites continued their own campaign of terror.,,,,
